HYPER-PARAMETERS
[63/400]  Loss_D: -1.4350 Loss_G: -4.3469, Wasserstein_dist:1.8654, vae_loss_seen:749.8011 GZSL: seen=0.9464, unseen=0.8692, h=0.9062 ZSL: unseen accuracy=0.9279
[64/400]  Loss_D: -1.5071 Loss_G: -6.3556, Wasserstein_dist:2.0794, vae_loss_seen:741.4314 GZSL: seen=0.9407, unseen=0.8798, h=0.9092 ZSL: unseen accuracy=0.9202
[65/400]  Loss_D: -1.4483 Loss_G: -5.1464, Wasserstein_dist:1.9404, vae_loss_seen:760.6702 GZSL: seen=0.9385, unseen=0.8798, h=0.9082 ZSL: unseen accuracy=0.9231
[66/400]  Loss_D: -1.5001 Loss_G: -4.6657, Wasserstein_dist:2.0202, vae_loss_seen:746.9760 GZSL: seen=0.9499, unseen=0.8731, h=0.9098 ZSL: unseen accuracy=0.9192
[67/400]  Loss_D: -1.3958 Loss_G: -4.9706, Wasserstein_dist:1.9257, vae_loss_seen:743.5941 GZSL: seen=0.9442, unseen=0.8712, h=0.9062 ZSL: unseen accuracy=0.9250
[68/400]  Loss_D: -1.4406 Loss_G: -5.3221, Wasserstein_dist:1.9308, vae_loss_seen:750.6523 GZSL: seen=0.9436, unseen=0.8663, h=0.9033 ZSL: unseen accuracy=0.9250
[69/400]  Loss_D: -1.4532 Loss_G: -5.3269, Wasserstein_dist:1.9230, vae_loss_seen:745.9691 GZSL: seen=0.9453, unseen=0.8817, h=0.9124 ZSL: unseen accuracy=0.9231
[70/400]  Loss_D: -1.2291 Loss_G: -4.3001, Wasserstein_dist:1.7472, vae_loss_seen:730.7326 GZSL: seen=0.9527, unseen=0.8673, h=0.9080 ZSL: unseen accuracy=0.9212
[71/400]  Loss_D: -1.3229 Loss_G: -2.9732, Wasserstein_dist:1.8254, vae_loss_seen:746.1774 GZSL: seen=0.9453, unseen=0.8750, h=0.9088 ZSL: unseen accuracy=0.9202
[72/400]  Loss_D: -1.4162 Loss_G: -5.0436, Wasserstein_dist:1.9073, vae_loss_seen:738.3970 GZSL: seen=0.9366, unseen=0.8788, h=0.9068 ZSL: unseen accuracy=0.9221
[73/400]  Loss_D: -1.6070 Loss_G: -6.0509, Wasserstein_dist:2.1464, vae_loss_seen:741.7484 GZSL: seen=0.9537, unseen=0.8750, h=0.9127 ZSL: unseen accuracy=0.9231
[74/400]  Loss_D: -1.8091 Loss_G: -5.6798, Wasserstein_dist:2.3371, vae_loss_seen:745.2587 GZSL: seen=0.9417, unseen=0.8750, h=0.9071 ZSL: unseen accuracy=0.9260
[75/400]  Loss_D: -1.4105 Loss_G: -5.1899, Wasserstein_dist:1.8955, vae_loss_seen:745.7714 GZSL: seen=0.9513, unseen=0.8644, h=0.9058 ZSL: unseen accuracy=0.9183
[76/400]  Loss_D: -1.5795 Loss_G: -5.2170, Wasserstein_dist:2.1002, vae_loss_seen:742.2979 GZSL: seen=0.9438, unseen=0.8856, h=0.9137 ZSL: unseen accuracy=0.9250
[77/400]  Loss_D: -1.5054 Loss_G: -4.9780, Wasserstein_dist:2.0331, vae_loss_seen:740.9081 GZSL: seen=0.9549, unseen=0.8673, h=0.9090 ZSL: unseen accuracy=0.9356
[78/400]  Loss_D: -1.3677 Loss_G: -4.2033, Wasserstein_dist:1.8207, vae_loss_seen:742.3426 GZSL: seen=0.9397, unseen=0.8808, h=0.9093 ZSL: unseen accuracy=0.9279
[79/400]  Loss_D: -1.4803 Loss_G: -4.9689, Wasserstein_dist:2.0099, vae_loss_seen:751.0123 GZSL: seen=0.9433, unseen=0.8779, h=0.9094 ZSL: unseen accuracy=0.9317
[80/400]  Loss_D: -1.3552 Loss_G: -4.9912, Wasserstein_dist:1.8331, vae_loss_seen:745.2224 GZSL: seen=0.9390, unseen=0.8798, h=0.9084 ZSL: unseen accuracy=0.9279
[81/400]  Loss_D: -1.5489 Loss_G: -5.3693, Wasserstein_dist:2.0805, vae_loss_seen:735.3475 GZSL: seen=0.9316, unseen=0.8827, h=0.9065 ZSL: unseen accuracy=0.9231
[82/400]  Loss_D: -1.6020 Loss_G: -4.7141, Wasserstein_dist:2.1109, vae_loss_seen:752.7237 GZSL: seen=0.9356, unseen=0.8933, h=0.9140 ZSL: unseen accuracy=0.9337
[83/400]  Loss_D: -1.6001 Loss_G: -4.7368, Wasserstein_dist:2.1371, vae_loss_seen:742.2787 GZSL: seen=0.9529, unseen=0.8721, h=0.9107 ZSL: unseen accuracy=0.9317
[84/400]  Loss_D: -1.4882 Loss_G: -6.3201, Wasserstein_dist:2.0053, vae_loss_seen:750.3140 GZSL: seen=0.9529, unseen=0.8721, h=0.9107 ZSL: unseen accuracy=0.9231
[85/400]  Loss_D: -1.3571 Loss_G: -3.9783, Wasserstein_dist:1.9066, vae_loss_seen:742.6465 GZSL: seen=0.9565, unseen=0.8712, h=0.9118 ZSL: unseen accuracy=0.9260
[86/400]  Loss_D: -1.4674 Loss_G: -5.5462, Wasserstein_dist:1.9843, vae_loss_seen:752.5883 GZSL: seen=0.9415, unseen=0.8817, h=0.9106 ZSL: unseen accuracy=0.9269
[87/400]  Loss_D: -1.3519 Loss_G: -6.2116, Wasserstein_dist:1.9269, vae_loss_seen:728.9084 GZSL: seen=0.9345, unseen=0.8846, h=0.9089 ZSL: unseen accuracy=0.9231
[88/400]  Loss_D: -1.4428 Loss_G: -5.6378, Wasserstein_dist:1.9459, vae_loss_seen:740.1385 GZSL: seen=0.9393, unseen=0.8750, h=0.9060 ZSL: unseen accuracy=0.9260
[89/400]  Loss_D: -1.5712 Loss_G: -5.3382, Wasserstein_dist:2.0788, vae_loss_seen:747.3905 GZSL: seen=0.9524, unseen=0.8673, h=0.9079 ZSL: unseen accuracy=0.9192
[90/400]  Loss_D: -1.4996 Loss_G: -5.0970, Wasserstein_dist:1.9745, vae_loss_seen:741.9129 GZSL: seen=0.9422, unseen=0.8808, h=0.9105 ZSL: unseen accuracy=0.9202
[91/400]  Loss_D: -1.2789 Loss_G: -3.2181, Wasserstein_dist:1.8082, vae_loss_seen:745.0621 GZSL: seen=0.9462, unseen=0.8712, h=0.9071 ZSL: unseen accuracy=0.9212
[92/400]  Loss_D: -1.3906 Loss_G: -5.5614, Wasserstein_dist:1.8563, vae_loss_seen:738.5466 GZSL: seen=0.9374, unseen=0.8865, h=0.9113 ZSL: unseen accuracy=0.9231
[93/400]  Loss_D: -1.3650 Loss_G: -5.7764, Wasserstein_dist:1.8765, vae_loss_seen:743.5640 GZSL: seen=0.9514, unseen=0.8654, h=0.9064 ZSL: unseen accuracy=0.9212
[94/400]  Loss_D: -1.6081 Loss_G: -5.3951, Wasserstein_dist:2.1342, vae_loss_seen:738.5007 GZSL: seen=0.9372, unseen=0.8894, h=0.9127 ZSL: unseen accuracy=0.9240
