HYPER-PARAMETERS
[72/400]  Loss_D: -2.0685 Loss_G: -1.9315, Wasserstein_dist:2.8669, vae_loss_seen:348.0000 GZSL: seen=0.3581, unseen=0.4865, h=0.4126 ZSL: unseen accuracy=0.6538
[73/400]  Loss_D: -2.2089 Loss_G: -2.1232, Wasserstein_dist:2.9963, vae_loss_seen:368.1113 GZSL: seen=0.3689, unseen=0.4606, h=0.4096 ZSL: unseen accuracy=0.6567
[74/400]  Loss_D: -2.0508 Loss_G: -1.8390, Wasserstein_dist:2.7361, vae_loss_seen:365.6360 GZSL: seen=0.3621, unseen=0.4625, h=0.4062 ZSL: unseen accuracy=0.6471
[75/400]  Loss_D: -2.1911 Loss_G: -1.9823, Wasserstein_dist:2.9449, vae_loss_seen:370.2426 GZSL: seen=0.3623, unseen=0.4769, h=0.4118 ZSL: unseen accuracy=0.6529
[76/400]  Loss_D: -1.9006 Loss_G: -1.7083, Wasserstein_dist:2.5326, vae_loss_seen:354.1049 GZSL: seen=0.3629, unseen=0.4510, h=0.4022 ZSL: unseen accuracy=0.6596
[77/400]  Loss_D: -1.8065 Loss_G: -1.8413, Wasserstein_dist:2.4918, vae_loss_seen:372.5874 GZSL: seen=0.3713, unseen=0.4538, h=0.4085 ZSL: unseen accuracy=0.6538
[78/400]  Loss_D: -1.9966 Loss_G: -1.9543, Wasserstein_dist:2.6804, vae_loss_seen:367.0261 GZSL: seen=0.3556, unseen=0.4798, h=0.4085 ZSL: unseen accuracy=0.6471
[79/400]  Loss_D: -1.8884 Loss_G: -1.8903, Wasserstein_dist:2.5382, vae_loss_seen:362.0085 GZSL: seen=0.3560, unseen=0.4856, h=0.4108 ZSL: unseen accuracy=0.6442
[80/400]  Loss_D: -1.9222 Loss_G: -2.0123, Wasserstein_dist:2.5808, vae_loss_seen:363.7783 GZSL: seen=0.3678, unseen=0.4433, h=0.4020 ZSL: unseen accuracy=0.6452
[81/400]  Loss_D: -2.0835 Loss_G: -2.0363, Wasserstein_dist:2.7818, vae_loss_seen:355.1621 GZSL: seen=0.3648, unseen=0.4846, h=0.4162 ZSL: unseen accuracy=0.6606
[82/400]  Loss_D: -1.9113 Loss_G: -1.7567, Wasserstein_dist:2.6082, vae_loss_seen:356.1448 GZSL: seen=0.3628, unseen=0.4673, h=0.4085 ZSL: unseen accuracy=0.6433
[83/400]  Loss_D: -2.1029 Loss_G: -2.0904, Wasserstein_dist:2.7142, vae_loss_seen:379.4247 GZSL: seen=0.3779, unseen=0.4490, h=0.4104 ZSL: unseen accuracy=0.6548
[84/400]  Loss_D: -2.1251 Loss_G: -2.0107, Wasserstein_dist:2.9077, vae_loss_seen:373.2774 GZSL: seen=0.3764, unseen=0.4500, h=0.4099 ZSL: unseen accuracy=0.6529
[85/400]  Loss_D: -2.0262 Loss_G: -2.1616, Wasserstein_dist:2.8048, vae_loss_seen:371.2208 GZSL: seen=0.3475, unseen=0.4769, h=0.4020 ZSL: unseen accuracy=0.6327
[86/400]  Loss_D: -1.8658 Loss_G: -2.0135, Wasserstein_dist:2.5838, vae_loss_seen:346.4545 GZSL: seen=0.3709, unseen=0.4654, h=0.4128 ZSL: unseen accuracy=0.6567
[87/400]  Loss_D: -2.2501 Loss_G: -2.2737, Wasserstein_dist:3.0746, vae_loss_seen:387.8917 GZSL: seen=0.3330, unseen=0.5279, h=0.4084 ZSL: unseen accuracy=0.6442
[88/400]  Loss_D: -1.9820 Loss_G: -2.0211, Wasserstein_dist:2.6271, vae_loss_seen:367.6765 GZSL: seen=0.3818, unseen=0.4471, h=0.4119 ZSL: unseen accuracy=0.6481
[89/400]  Loss_D: -1.9738 Loss_G: -2.1651, Wasserstein_dist:2.6824, vae_loss_seen:373.0858 GZSL: seen=0.3596, unseen=0.4913, h=0.4152 ZSL: unseen accuracy=0.6606
[90/400]  Loss_D: -2.0414 Loss_G: -2.0409, Wasserstein_dist:2.6860, vae_loss_seen:364.6408 GZSL: seen=0.3919, unseen=0.4183, h=0.4047 ZSL: unseen accuracy=0.6404
[91/400]  Loss_D: -1.9502 Loss_G: -2.2697, Wasserstein_dist:2.6318, vae_loss_seen:362.3493 GZSL: seen=0.3533, unseen=0.4808, h=0.4073 ZSL: unseen accuracy=0.6529
[92/400]  Loss_D: -2.0010 Loss_G: -2.1692, Wasserstein_dist:2.7493, vae_loss_seen:366.6457 GZSL: seen=0.3533, unseen=0.4808, h=0.4073 ZSL: unseen accuracy=0.6587
[93/400]  Loss_D: -2.1047 Loss_G: -2.4108, Wasserstein_dist:2.8267, vae_loss_seen:367.8370 GZSL: seen=0.3697, unseen=0.4740, h=0.4154 ZSL: unseen accuracy=0.6519
[94/400]  Loss_D: -1.9393 Loss_G: -2.0546, Wasserstein_dist:2.6319, vae_loss_seen:362.5393 GZSL: seen=0.3666, unseen=0.4702, h=0.4120 ZSL: unseen accuracy=0.6548
[95/400]  Loss_D: -1.9332 Loss_G: -2.1809, Wasserstein_dist:2.5409, vae_loss_seen:374.1921 GZSL: seen=0.3646, unseen=0.4654, h=0.4089 ZSL: unseen accuracy=0.6462
[96/400]  Loss_D: -2.0082 Loss_G: -2.2710, Wasserstein_dist:2.7225, vae_loss_seen:354.2216 GZSL: seen=0.3687, unseen=0.4615, h=0.4099 ZSL: unseen accuracy=0.6490
[97/400]  Loss_D: -2.0801 Loss_G: -2.4149, Wasserstein_dist:2.7808, vae_loss_seen:360.1402 GZSL: seen=0.3634, unseen=0.4500, h=0.4021 ZSL: unseen accuracy=0.6442
[98/400]  Loss_D: -2.0323 Loss_G: -2.1210, Wasserstein_dist:2.7202, vae_loss_seen:376.1172 GZSL: seen=0.3542, unseen=0.4779, h=0.4068 ZSL: unseen accuracy=0.6471
[99/400]  Loss_D: -1.9531 Loss_G: -2.2910, Wasserstein_dist:2.5331, vae_loss_seen:372.4385 GZSL: seen=0.3613, unseen=0.4519, h=0.4015 ZSL: unseen accuracy=0.6442
[100/400]  Loss_D: -1.9885 Loss_G: -2.5703, Wasserstein_dist:2.7369, vae_loss_seen:369.0727 GZSL: seen=0.3551, unseen=0.4769, h=0.4071 ZSL: unseen accuracy=0.6471
[101/400]  Loss_D: -1.9676 Loss_G: -2.3170, Wasserstein_dist:2.7051, vae_loss_seen:360.1404 GZSL: seen=0.3467, unseen=0.5029, h=0.4104 ZSL: unseen accuracy=0.6481
[102/400]  Loss_D: -1.9202 Loss_G: -2.1371, Wasserstein_dist:2.6109, vae_loss_seen:364.4681 GZSL: seen=0.3775, unseen=0.4587, h=0.4142 ZSL: unseen accuracy=0.6481
[103/400]  Loss_D: -2.0480 Loss_G: -2.2959, Wasserstein_dist:2.7044, vae_loss_seen:378.4000 GZSL: seen=0.3704, unseen=0.4538, h=0.4079 ZSL: unseen accuracy=0.6452
[104/400]  Loss_D: -1.8232 Loss_G: -1.9887, Wasserstein_dist:2.4644, vae_loss_seen:367.6852 GZSL: seen=0.3882, unseen=0.4221, h=0.4044 ZSL: unseen accuracy=0.6462
[105/400]  Loss_D: -2.0211 Loss_G: -2.4607, Wasserstein_dist:2.7118, vae_loss_seen:368.2041 GZSL: seen=0.3596, unseen=0.5029, h=0.4194 ZSL: unseen accuracy=0.6462
[106/400]  Loss_D: -1.8803 Loss_G: -2.0680, Wasserstein_dist:2.5348, vae_loss_seen:367.1203 GZSL: seen=0.3521, unseen=0.4731, h=0.4037 ZSL: unseen accuracy=0.6452
[107/400]  Loss_D: -1.7244 Loss_G: -1.9186, Wasserstein_dist:2.3372, vae_loss_seen:351.4465 GZSL: seen=0.3788, unseen=0.4548, h=0.4134 ZSL: unseen accuracy=0.6558
[108/400]  Loss_D: -2.0551 Loss_G: -2.2671, Wasserstein_dist:2.7681, vae_loss_seen:359.5772 GZSL: seen=0.3663, unseen=0.4740, h=0.4132 ZSL: unseen accuracy=0.6404
[109/400]  Loss_D: -1.8270 Loss_G: -1.9541, Wasserstein_dist:2.4961, vae_loss_seen:362.1047 GZSL: seen=0.3705, unseen=0.4538, h=0.4079 ZSL: unseen accuracy=0.6481
[110/400]  Loss_D: -1.8322 Loss_G: -2.3131, Wasserstein_dist:2.4840, vae_loss_seen:371.2388 GZSL: seen=0.3596, unseen=0.4760, h=0.4097 ZSL: unseen accuracy=0.6471
[111/400]  Loss_D: -1.9751 Loss_G: -2.2855, Wasserstein_dist:2.5757, vae_loss_seen:382.7214 GZSL: seen=0.3731, unseen=0.4481, h=0.4072 ZSL: unseen accuracy=0.6413
[112/400]  Loss_D: -1.7613 Loss_G: -2.1367, Wasserstein_dist:2.3857, vae_loss_seen:368.4082 GZSL: seen=0.3670, unseen=0.4846, h=0.4177 ZSL: unseen accuracy=0.6481
[113/400]  Loss_D: -1.7536 Loss_G: -1.9528, Wasserstein_dist:2.3170, vae_loss_seen:354.3091 GZSL: seen=0.3659, unseen=0.4740, h=0.4130 ZSL: unseen accuracy=0.6510
[114/400]  Loss_D: -1.7681 Loss_G: -2.4318, Wasserstein_dist:2.3782, vae_loss_seen:366.5352 GZSL: seen=0.3786, unseen=0.4606, h=0.4156 ZSL: unseen accuracy=0.6404
[115/400]  Loss_D: -1.8529 Loss_G: -2.0672, Wasserstein_dist:2.5033, vae_loss_seen:367.3353 GZSL: seen=0.3663, unseen=0.4692, h=0.4114 ZSL: unseen accuracy=0.6452
[116/400]  Loss_D: -1.8151 Loss_G: -2.4081, Wasserstein_dist:2.3844, vae_loss_seen:365.0316 GZSL: seen=0.3403, unseen=0.5163, h=0.4102 ZSL: unseen accuracy=0.6548
[117/400]  Loss_D: -1.8329 Loss_G: -1.9833, Wasserstein_dist:2.4549, vae_loss_seen:375.1569 GZSL: seen=0.3387, unseen=0.5163, h=0.4091 ZSL: unseen accuracy=0.6471
[118/400]  Loss_D: -1.7105 Loss_G: -2.4131, Wasserstein_dist:2.2908, vae_loss_seen:362.0974 GZSL: seen=0.3539, unseen=0.4788, h=0.4070 ZSL: unseen accuracy=0.6462
[119/400]  Loss_D: -1.8211 Loss_G: -2.4401, Wasserstein_dist:2.4432, vae_loss_seen:368.5739 GZSL: seen=0.3693, unseen=0.4625, h=0.4107 ZSL: unseen accuracy=0.6538
[120/400]  Loss_D: -1.7928 Loss_G: -2.1832, Wasserstein_dist:2.3783, vae_loss_seen:370.9578 GZSL: seen=0.3643, unseen=0.4731, h=0.4116 ZSL: unseen accuracy=0.6433
[121/400]  Loss_D: -1.7683 Loss_G: -2.5205, Wasserstein_dist:2.3491, vae_loss_seen:367.9157 GZSL: seen=0.3437, unseen=0.5096, h=0.4105 ZSL: unseen accuracy=0.6548
[122/400]  Loss_D: -1.6444 Loss_G: -2.3113, Wasserstein_dist:2.1876, vae_loss_seen:368.8469 GZSL: seen=0.3835, unseen=0.4308, h=0.4058 ZSL: unseen accuracy=0.6471
[123/400]  Loss_D: -1.9807 Loss_G: -2.7305, Wasserstein_dist:2.7226, vae_loss_seen:373.4622 GZSL: seen=0.3867, unseen=0.4385, h=0.4109 ZSL: unseen accuracy=0.6413
[124/400]  Loss_D: -1.7809 Loss_G: -2.2060, Wasserstein_dist:2.3340, vae_loss_seen:378.0091 GZSL: seen=0.3574, unseen=0.4971, h=0.4158 ZSL: unseen accuracy=0.6462
[125/400]  Loss_D: -1.7566 Loss_G: -2.3348, Wasserstein_dist:2.4157, vae_loss_seen:357.0675 GZSL: seen=0.3748, unseen=0.4625, h=0.4141 ZSL: unseen accuracy=0.6452
[126/400]  Loss_D: -1.8901 Loss_G: -2.5124, Wasserstein_dist:2.5602, vae_loss_seen:359.8195 GZSL: seen=0.3636, unseen=0.4644, h=0.4079 ZSL: unseen accuracy=0.6529
