HYPER-PARAMETERS
[82/400]  Loss_D: -1.4744 Loss_G: -5.2577, Wasserstein_dist:1.9635, vae_loss_seen:747.6650 GZSL: seen=0.9488, unseen=0.8692, h=0.9073 ZSL: unseen accuracy=0.9221
[83/400]  Loss_D: -1.3568 Loss_G: -3.8441, Wasserstein_dist:1.8307, vae_loss_seen:734.2912 GZSL: seen=0.9474, unseen=0.8798, h=0.9123 ZSL: unseen accuracy=0.9269
[84/400]  Loss_D: -1.4189 Loss_G: -5.0873, Wasserstein_dist:1.8749, vae_loss_seen:754.2946 GZSL: seen=0.9415, unseen=0.8750, h=0.9070 ZSL: unseen accuracy=0.9260
[85/400]  Loss_D: -1.3891 Loss_G: -5.1245, Wasserstein_dist:1.9877, vae_loss_seen:730.7039 GZSL: seen=0.9366, unseen=0.8904, h=0.9129 ZSL: unseen accuracy=0.9250
[86/400]  Loss_D: -1.4524 Loss_G: -4.6663, Wasserstein_dist:1.9371, vae_loss_seen:747.9382 GZSL: seen=0.9472, unseen=0.8808, h=0.9128 ZSL: unseen accuracy=0.9317
[87/400]  Loss_D: -1.2943 Loss_G: -4.6164, Wasserstein_dist:1.8281, vae_loss_seen:746.7076 GZSL: seen=0.9493, unseen=0.8692, h=0.9075 ZSL: unseen accuracy=0.9260
[88/400]  Loss_D: -1.4307 Loss_G: -5.7498, Wasserstein_dist:1.9375, vae_loss_seen:745.4561 GZSL: seen=0.9533, unseen=0.8606, h=0.9046 ZSL: unseen accuracy=0.9240
[89/400]  Loss_D: -1.4168 Loss_G: -5.0968, Wasserstein_dist:1.8968, vae_loss_seen:755.9031 GZSL: seen=0.9441, unseen=0.8846, h=0.9134 ZSL: unseen accuracy=0.9394
[90/400]  Loss_D: -1.4131 Loss_G: -4.2373, Wasserstein_dist:1.8669, vae_loss_seen:739.8306 GZSL: seen=0.9389, unseen=0.8942, h=0.9160 ZSL: unseen accuracy=0.9317
[91/400]  Loss_D: -1.5012 Loss_G: -5.7684, Wasserstein_dist:2.0397, vae_loss_seen:741.1339 GZSL: seen=0.9204, unseen=0.9096, h=0.9150 ZSL: unseen accuracy=0.9269
[92/400]  Loss_D: -1.2851 Loss_G: -6.5229, Wasserstein_dist:1.8819, vae_loss_seen:736.9938 GZSL: seen=0.9484, unseen=0.8827, h=0.9144 ZSL: unseen accuracy=0.9269
[93/400]  Loss_D: -1.4680 Loss_G: -4.2813, Wasserstein_dist:1.9793, vae_loss_seen:748.8810 GZSL: seen=0.9500, unseen=0.8721, h=0.9094 ZSL: unseen accuracy=0.9279
[94/400]  Loss_D: -1.4017 Loss_G: -4.7154, Wasserstein_dist:1.8375, vae_loss_seen:733.7418 GZSL: seen=0.9451, unseen=0.8856, h=0.9144 ZSL: unseen accuracy=0.9269
[95/400]  Loss_D: -1.3804 Loss_G: -3.6827, Wasserstein_dist:1.8937, vae_loss_seen:740.6199 GZSL: seen=0.9418, unseen=0.8837, h=0.9118 ZSL: unseen accuracy=0.9231
[96/400]  Loss_D: -1.2798 Loss_G: -4.1807, Wasserstein_dist:1.8820, vae_loss_seen:734.8426 GZSL: seen=0.9467, unseen=0.8769, h=0.9105 ZSL: unseen accuracy=0.9202
