HYPER-PARAMETERS
[82/400]  Loss_D: -2.0876 Loss_G: -1.9586, Wasserstein_dist:2.7786, vae_loss_seen:358.3063 GZSL: seen=0.3685, unseen=0.4529, h=0.4063 ZSL: unseen accuracy=0.6519
[83/400]  Loss_D: -2.0112 Loss_G: -1.9856, Wasserstein_dist:2.6296, vae_loss_seen:360.9784 GZSL: seen=0.3694, unseen=0.4673, h=0.4126 ZSL: unseen accuracy=0.6538
[84/400]  Loss_D: -2.0068 Loss_G: -1.8860, Wasserstein_dist:2.7845, vae_loss_seen:354.0642 GZSL: seen=0.3520, unseen=0.4721, h=0.4033 ZSL: unseen accuracy=0.6481
[85/400]  Loss_D: -2.0846 Loss_G: -1.9636, Wasserstein_dist:2.7378, vae_loss_seen:367.6103 GZSL: seen=0.3857, unseen=0.4413, h=0.4116 ZSL: unseen accuracy=0.6548
[86/400]  Loss_D: -2.1042 Loss_G: -2.3420, Wasserstein_dist:2.9353, vae_loss_seen:374.4890 GZSL: seen=0.3732, unseen=0.4750, h=0.4180 ZSL: unseen accuracy=0.6596
[87/400]  Loss_D: -1.9336 Loss_G: -2.0306, Wasserstein_dist:2.5784, vae_loss_seen:363.5166 GZSL: seen=0.3649, unseen=0.4673, h=0.4098 ZSL: unseen accuracy=0.6519
[88/400]  Loss_D: -1.9353 Loss_G: -1.8994, Wasserstein_dist:2.5889, vae_loss_seen:367.4566 GZSL: seen=0.3745, unseen=0.4587, h=0.4123 ZSL: unseen accuracy=0.6538
[89/400]  Loss_D: -2.0541 Loss_G: -2.1447, Wasserstein_dist:2.7677, vae_loss_seen:361.9764 GZSL: seen=0.3713, unseen=0.4606, h=0.4112 ZSL: unseen accuracy=0.6519
[90/400]  Loss_D: -2.0693 Loss_G: -2.1157, Wasserstein_dist:2.7458, vae_loss_seen:371.8297 GZSL: seen=0.3538, unseen=0.4971, h=0.4134 ZSL: unseen accuracy=0.6538
[91/400]  Loss_D: -1.9115 Loss_G: -2.1257, Wasserstein_dist:2.6005, vae_loss_seen:369.5131 GZSL: seen=0.3699, unseen=0.4779, h=0.4170 ZSL: unseen accuracy=0.6548
[92/400]  Loss_D: -2.0003 Loss_G: -2.0232, Wasserstein_dist:2.7725, vae_loss_seen:371.3148 GZSL: seen=0.3679, unseen=0.4683, h=0.4121 ZSL: unseen accuracy=0.6587
[93/400]  Loss_D: -2.1331 Loss_G: -2.0708, Wasserstein_dist:2.9187, vae_loss_seen:370.4557 GZSL: seen=0.3695, unseen=0.4740, h=0.4153 ZSL: unseen accuracy=0.6500
[94/400]  Loss_D: -1.9113 Loss_G: -2.0666, Wasserstein_dist:2.5594, vae_loss_seen:354.9748 GZSL: seen=0.3802, unseen=0.4452, h=0.4101 ZSL: unseen accuracy=0.6538
[95/400]  Loss_D: -1.9262 Loss_G: -2.0503, Wasserstein_dist:2.5798, vae_loss_seen:367.0627 GZSL: seen=0.3754, unseen=0.4702, h=0.4175 ZSL: unseen accuracy=0.6519
