HYPER-PARAMETERS
[58/500]  Loss_D: -43.7705 Loss_G: -15.7206, Wasserstein_dist:57.5106, vae_loss_seen:642.0046 GZSL: seen=0.9482, unseen=0.6359, h=0.7613 ZSL: unseen accuracy=0.6647
[59/500]  Loss_D: -45.8638 Loss_G: -16.2479, Wasserstein_dist:60.4574, vae_loss_seen:640.4987 GZSL: seen=0.9631, unseen=0.6148, h=0.7505 ZSL: unseen accuracy=0.6445
[60/500]  Loss_D: -41.2629 Loss_G: -16.5050, Wasserstein_dist:56.9439, vae_loss_seen:643.9014 GZSL: seen=0.9606, unseen=0.6258, h=0.7579 ZSL: unseen accuracy=0.6597
[61/500]  Loss_D: -47.4335 Loss_G: -15.8037, Wasserstein_dist:60.7058, vae_loss_seen:666.0325 GZSL: seen=0.9519, unseen=0.6181, h=0.7495 ZSL: unseen accuracy=0.6450
[62/500]  Loss_D: -43.4016 Loss_G: -17.9811, Wasserstein_dist:56.2844, vae_loss_seen:629.5775 GZSL: seen=0.9554, unseen=0.6253, h=0.7559 ZSL: unseen accuracy=0.6590
[63/500]  Loss_D: -41.8354 Loss_G: -17.0178, Wasserstein_dist:54.5901, vae_loss_seen:633.7736 GZSL: seen=0.9518, unseen=0.6346, h=0.7614 ZSL: unseen accuracy=0.6413
[64/500]  Loss_D: -39.4073 Loss_G: -16.8360, Wasserstein_dist:51.9586, vae_loss_seen:626.9556 GZSL: seen=0.9494, unseen=0.6211, h=0.7509 ZSL: unseen accuracy=0.6506
[65/500]  Loss_D: -34.8047 Loss_G: -17.8143, Wasserstein_dist:48.7020, vae_loss_seen:614.5871 GZSL: seen=0.9497, unseen=0.6200, h=0.7502 ZSL: unseen accuracy=0.6536
[66/500]  Loss_D: -39.3697 Loss_G: -18.7697, Wasserstein_dist:52.4836, vae_loss_seen:615.7682 GZSL: seen=0.9516, unseen=0.6134, h=0.7460 ZSL: unseen accuracy=0.6481
[67/500]  Loss_D: -46.6300 Loss_G: -17.3736, Wasserstein_dist:58.7585, vae_loss_seen:625.0664 GZSL: seen=0.9477, unseen=0.6179, h=0.7481 ZSL: unseen accuracy=0.6571
[68/500]  Loss_D: -43.9753 Loss_G: -17.7287, Wasserstein_dist:55.9743, vae_loss_seen:609.8659 GZSL: seen=0.9543, unseen=0.6375, h=0.7643 ZSL: unseen accuracy=0.6796
[69/500]  Loss_D: -39.5134 Loss_G: -18.1768, Wasserstein_dist:53.0584, vae_loss_seen:628.2157 GZSL: seen=0.9469, unseen=0.6163, h=0.7467 ZSL: unseen accuracy=0.6475
[70/500]  Loss_D: -35.0613 Loss_G: -18.5801, Wasserstein_dist:50.0277, vae_loss_seen:619.9274 GZSL: seen=0.9488, unseen=0.6190, h=0.7492 ZSL: unseen accuracy=0.6684
[71/500]  Loss_D: -34.9779 Loss_G: -17.9203, Wasserstein_dist:50.0916, vae_loss_seen:631.5819 GZSL: seen=0.9466, unseen=0.6254, h=0.7532 ZSL: unseen accuracy=0.6413
[72/500]  Loss_D: -36.1478 Loss_G: -17.6481, Wasserstein_dist:53.3619, vae_loss_seen:638.4405 GZSL: seen=0.9097, unseen=0.6476, h=0.7566 ZSL: unseen accuracy=0.6550
[73/500]  Loss_D: -34.7811 Loss_G: -18.5063, Wasserstein_dist:49.2096, vae_loss_seen:597.1375 GZSL: seen=0.9669, unseen=0.6160, h=0.7526 ZSL: unseen accuracy=0.6624
[74/500]  Loss_D: -34.2890 Loss_G: -19.2376, Wasserstein_dist:50.1552, vae_loss_seen:605.5950 GZSL: seen=0.9470, unseen=0.6197, h=0.7492 ZSL: unseen accuracy=0.6458
[75/500]  Loss_D: -40.2576 Loss_G: -18.9366, Wasserstein_dist:54.0620, vae_loss_seen:604.6266 GZSL: seen=0.9433, unseen=0.6123, h=0.7426 ZSL: unseen accuracy=0.6418
[76/500]  Loss_D: -34.0173 Loss_G: -19.6667, Wasserstein_dist:48.1088, vae_loss_seen:604.9032 GZSL: seen=0.9528, unseen=0.6146, h=0.7473 ZSL: unseen accuracy=0.6459
[77/500]  Loss_D: -44.1338 Loss_G: -19.0528, Wasserstein_dist:55.2558, vae_loss_seen:594.1027 GZSL: seen=0.8988, unseen=0.6364, h=0.7452 ZSL: unseen accuracy=0.6572
[78/500]  Loss_D: -33.1737 Loss_G: -19.9613, Wasserstein_dist:44.8746, vae_loss_seen:595.9078 GZSL: seen=0.9531, unseen=0.6278, h=0.7570 ZSL: unseen accuracy=0.6588
[79/500]  Loss_D: -39.8987 Loss_G: -18.7568, Wasserstein_dist:51.8600, vae_loss_seen:607.5582 GZSL: seen=0.9568, unseen=0.6143, h=0.7482 ZSL: unseen accuracy=0.6529
[80/500]  Loss_D: -32.0540 Loss_G: -19.2271, Wasserstein_dist:43.9013, vae_loss_seen:598.2633 GZSL: seen=0.9482, unseen=0.6197, h=0.7496 ZSL: unseen accuracy=0.6661
[81/500]  Loss_D: -34.6502 Loss_G: -19.3327, Wasserstein_dist:45.8141, vae_loss_seen:599.7204 GZSL: seen=0.9020, unseen=0.6278, h=0.7403 ZSL: unseen accuracy=0.6686
[82/500]  Loss_D: -38.0518 Loss_G: -19.5353, Wasserstein_dist:50.9324, vae_loss_seen:602.4286 GZSL: seen=0.9049, unseen=0.6349, h=0.7463 ZSL: unseen accuracy=0.6664
[83/500]  Loss_D: -36.1892 Loss_G: -19.0529, Wasserstein_dist:47.1096, vae_loss_seen:596.9982 GZSL: seen=0.9086, unseen=0.6512, h=0.7586 ZSL: unseen accuracy=0.6508
[84/500]  Loss_D: -31.2420 Loss_G: -20.0223, Wasserstein_dist:43.0158, vae_loss_seen:601.7803 GZSL: seen=0.9441, unseen=0.6292, h=0.7552 ZSL: unseen accuracy=0.6554
[85/500]  Loss_D: -36.8728 Loss_G: -20.3279, Wasserstein_dist:48.4251, vae_loss_seen:591.9370 GZSL: seen=0.9512, unseen=0.6093, h=0.7428 ZSL: unseen accuracy=0.6498
