HYPER-PARAMETERS
[73/500]  Loss_D: -23.1294 Loss_G: -4.7302, Wasserstein_dist:29.9521, vae_loss_seen:347.8106 GZSL: seen=0.8586, unseen=0.5246, h=0.6513 ZSL: unseen accuracy=0.5738
[74/500]  Loss_D: -23.3855 Loss_G: -4.5052, Wasserstein_dist:31.1096, vae_loss_seen:368.9431 GZSL: seen=0.8095, unseen=0.5410, h=0.6486 ZSL: unseen accuracy=0.5670
[75/500]  Loss_D: -24.2497 Loss_G: -4.3740, Wasserstein_dist:31.1308, vae_loss_seen:348.9444 GZSL: seen=0.8456, unseen=0.5358, h=0.6559 ZSL: unseen accuracy=0.5751
[76/500]  Loss_D: -23.8837 Loss_G: -4.6165, Wasserstein_dist:31.4279, vae_loss_seen:362.9810 GZSL: seen=0.8465, unseen=0.5321, h=0.6535 ZSL: unseen accuracy=0.5825
[77/500]  Loss_D: -22.9862 Loss_G: -3.9262, Wasserstein_dist:31.5822, vae_loss_seen:364.4445 GZSL: seen=0.8272, unseen=0.5421, h=0.6550 ZSL: unseen accuracy=0.5786
[78/500]  Loss_D: -22.0459 Loss_G: -4.3943, Wasserstein_dist:29.9522, vae_loss_seen:359.1473 GZSL: seen=0.8635, unseen=0.5448, h=0.6681 ZSL: unseen accuracy=0.5827
[79/500]  Loss_D: -22.0253 Loss_G: -4.6718, Wasserstein_dist:29.8829, vae_loss_seen:355.2838 GZSL: seen=0.8481, unseen=0.5319, h=0.6538 ZSL: unseen accuracy=0.5727
[80/500]  Loss_D: -22.4787 Loss_G: -4.5603, Wasserstein_dist:31.6233, vae_loss_seen:357.8022 GZSL: seen=0.8552, unseen=0.5281, h=0.6530 ZSL: unseen accuracy=0.5706
[81/500]  Loss_D: -21.2948 Loss_G: -4.3218, Wasserstein_dist:28.6847, vae_loss_seen:350.2314 GZSL: seen=0.8530, unseen=0.5276, h=0.6520 ZSL: unseen accuracy=0.5649
[82/500]  Loss_D: -25.9566 Loss_G: -4.6138, Wasserstein_dist:34.1193, vae_loss_seen:369.9366 GZSL: seen=0.8511, unseen=0.5415, h=0.6619 ZSL: unseen accuracy=0.5841
[83/500]  Loss_D: -23.2305 Loss_G: -4.4299, Wasserstein_dist:31.2746, vae_loss_seen:372.5759 GZSL: seen=0.8688, unseen=0.5178, h=0.6489 ZSL: unseen accuracy=0.5618
[84/500]  Loss_D: -22.2930 Loss_G: -4.5623, Wasserstein_dist:30.1163, vae_loss_seen:356.9168 GZSL: seen=0.8111, unseen=0.5432, h=0.6506 ZSL: unseen accuracy=0.5614
[85/500]  Loss_D: -22.4563 Loss_G: -4.5584, Wasserstein_dist:28.9114, vae_loss_seen:358.4780 GZSL: seen=0.8271, unseen=0.5316, h=0.6472 ZSL: unseen accuracy=0.5664
[86/500]  Loss_D: -21.7002 Loss_G: -4.2869, Wasserstein_dist:29.6280, vae_loss_seen:372.3146 GZSL: seen=0.8717, unseen=0.5170, h=0.6491 ZSL: unseen accuracy=0.5777
[87/500]  Loss_D: -24.1497 Loss_G: -4.4732, Wasserstein_dist:32.2987, vae_loss_seen:374.5845 GZSL: seen=0.8452, unseen=0.5309, h=0.6522 ZSL: unseen accuracy=0.5812
[88/500]  Loss_D: -22.9869 Loss_G: -4.3232, Wasserstein_dist:30.9298, vae_loss_seen:338.6810 GZSL: seen=0.8592, unseen=0.5345, h=0.6590 ZSL: unseen accuracy=0.5840
[89/500]  Loss_D: -23.6557 Loss_G: -4.3053, Wasserstein_dist:31.3814, vae_loss_seen:366.4933 GZSL: seen=0.8487, unseen=0.5304, h=0.6528 ZSL: unseen accuracy=0.5853
[90/500]  Loss_D: -20.5059 Loss_G: -4.2853, Wasserstein_dist:27.7990, vae_loss_seen:347.4228 GZSL: seen=0.7890, unseen=0.5547, h=0.6514 ZSL: unseen accuracy=0.5744
[91/500]  Loss_D: -19.1356 Loss_G: -4.4958, Wasserstein_dist:26.2126, vae_loss_seen:343.4837 GZSL: seen=0.8392, unseen=0.5277, h=0.6480 ZSL: unseen accuracy=0.5785
[92/500]  Loss_D: -19.7605 Loss_G: -4.6698, Wasserstein_dist:26.8350, vae_loss_seen:351.3293 GZSL: seen=0.8683, unseen=0.5304, h=0.6585 ZSL: unseen accuracy=0.5808
[93/500]  Loss_D: -21.7672 Loss_G: -4.6925, Wasserstein_dist:29.1552, vae_loss_seen:364.5213 GZSL: seen=0.8112, unseen=0.5512, h=0.6564 ZSL: unseen accuracy=0.5913
[94/500]  Loss_D: -22.9779 Loss_G: -4.5795, Wasserstein_dist:30.3432, vae_loss_seen:370.1847 GZSL: seen=0.8412, unseen=0.5426, h=0.6597 ZSL: unseen accuracy=0.5788
[95/500]  Loss_D: -17.7351 Loss_G: -4.7191, Wasserstein_dist:26.2952, vae_loss_seen:352.2416 GZSL: seen=0.8419, unseen=0.5295, h=0.6501 ZSL: unseen accuracy=0.5712
[96/500]  Loss_D: -22.5100 Loss_G: -4.7945, Wasserstein_dist:30.0537, vae_loss_seen:374.4457 GZSL: seen=0.8560, unseen=0.5242, h=0.6502 ZSL: unseen accuracy=0.5709
[97/500]  Loss_D: -23.0072 Loss_G: -4.8705, Wasserstein_dist:30.6789, vae_loss_seen:353.0520 GZSL: seen=0.8644, unseen=0.5261, h=0.6541 ZSL: unseen accuracy=0.5856
[98/500]  Loss_D: -21.9323 Loss_G: -4.8988, Wasserstein_dist:29.4852, vae_loss_seen:361.1871 GZSL: seen=0.8585, unseen=0.5269, h=0.6530 ZSL: unseen accuracy=0.5796
[99/500]  Loss_D: -18.9463 Loss_G: -4.4086, Wasserstein_dist:25.1009, vae_loss_seen:351.5195 GZSL: seen=0.8309, unseen=0.5415, h=0.6557 ZSL: unseen accuracy=0.5762
[100/500]  Loss_D: -21.1293 Loss_G: -4.6031, Wasserstein_dist:28.2047, vae_loss_seen:349.7095 GZSL: seen=0.8470, unseen=0.5300, h=0.6521 ZSL: unseen accuracy=0.5738
[101/500]  Loss_D: -22.0967 Loss_G: -4.6386, Wasserstein_dist:29.5419, vae_loss_seen:381.6155 GZSL: seen=0.8520, unseen=0.5320, h=0.6550 ZSL: unseen accuracy=0.5728
[102/500]  Loss_D: -19.4400 Loss_G: -4.6985, Wasserstein_dist:27.4588, vae_loss_seen:366.9820 GZSL: seen=0.8623, unseen=0.5209, h=0.6494 ZSL: unseen accuracy=0.5779
