HYPER-PARAMETERS
[108/500]  Loss_D: -17.2345 Loss_G: -4.2102, Wasserstein_dist:23.9022, vae_loss_seen:347.3665 GZSL: seen=0.8384, unseen=0.5398, h=0.6568 ZSL: unseen accuracy=0.5704
[109/500]  Loss_D: -18.3007 Loss_G: -3.5268, Wasserstein_dist:24.8455, vae_loss_seen:346.6462 GZSL: seen=0.8386, unseen=0.5393, h=0.6565 ZSL: unseen accuracy=0.5767
[110/500]  Loss_D: -20.6286 Loss_G: -3.5615, Wasserstein_dist:28.5136, vae_loss_seen:380.5651 GZSL: seen=0.8494, unseen=0.5405, h=0.6606 ZSL: unseen accuracy=0.5775
[111/500]  Loss_D: -17.6813 Loss_G: -3.4912, Wasserstein_dist:23.7728, vae_loss_seen:355.4751 GZSL: seen=0.8243, unseen=0.5371, h=0.6504 ZSL: unseen accuracy=0.5757
[112/500]  Loss_D: -19.5203 Loss_G: -3.1440, Wasserstein_dist:26.5323, vae_loss_seen:378.1692 GZSL: seen=0.8171, unseen=0.5435, h=0.6528 ZSL: unseen accuracy=0.5734
[113/500]  Loss_D: -22.1152 Loss_G: -3.4578, Wasserstein_dist:29.1981, vae_loss_seen:385.5042 GZSL: seen=0.8268, unseen=0.5417, h=0.6546 ZSL: unseen accuracy=0.5891
[114/500]  Loss_D: -17.8211 Loss_G: -3.7308, Wasserstein_dist:23.5215, vae_loss_seen:367.1367 GZSL: seen=0.8533, unseen=0.5261, h=0.6509 ZSL: unseen accuracy=0.5707
[115/500]  Loss_D: -17.2401 Loss_G: -3.4657, Wasserstein_dist:22.9821, vae_loss_seen:361.5669 GZSL: seen=0.8370, unseen=0.5355, h=0.6531 ZSL: unseen accuracy=0.5781
[116/500]  Loss_D: -17.0816 Loss_G: -3.0541, Wasserstein_dist:23.7387, vae_loss_seen:357.8280 GZSL: seen=0.8385, unseen=0.5322, h=0.6511 ZSL: unseen accuracy=0.5819
[117/500]  Loss_D: -16.1619 Loss_G: -3.2205, Wasserstein_dist:22.3560, vae_loss_seen:371.1033 GZSL: seen=0.8566, unseen=0.5274, h=0.6529 ZSL: unseen accuracy=0.5800
