HYPER-PARAMETERS
[117/500]  Loss_D: -19.5286 Loss_G: -1.9436, Wasserstein_dist:25.0398, vae_loss_seen:406.6437 GZSL: seen=0.8512, unseen=0.5305, h=0.6536 ZSL: unseen accuracy=0.5812
[118/500]  Loss_D: -18.6597 Loss_G: -1.8875, Wasserstein_dist:24.4927, vae_loss_seen:376.2120 GZSL: seen=0.8081, unseen=0.5386, h=0.6464 ZSL: unseen accuracy=0.5795
[119/500]  Loss_D: -18.6440 Loss_G: -2.1970, Wasserstein_dist:24.6421, vae_loss_seen:391.1199 GZSL: seen=0.8151, unseen=0.5492, h=0.6562 ZSL: unseen accuracy=0.5836
[120/500]  Loss_D: -15.9267 Loss_G: -1.9424, Wasserstein_dist:21.0607, vae_loss_seen:378.3167 GZSL: seen=0.8408, unseen=0.5297, h=0.6499 ZSL: unseen accuracy=0.5886
[121/500]  Loss_D: -16.4088 Loss_G: -1.8336, Wasserstein_dist:21.9864, vae_loss_seen:382.3489 GZSL: seen=0.8248, unseen=0.5427, h=0.6546 ZSL: unseen accuracy=0.5772
[122/500]  Loss_D: -15.1057 Loss_G: -1.7769, Wasserstein_dist:20.7491, vae_loss_seen:385.1168 GZSL: seen=0.8478, unseen=0.5300, h=0.6523 ZSL: unseen accuracy=0.5819
[123/500]  Loss_D: -17.8458 Loss_G: -1.6457, Wasserstein_dist:23.5081, vae_loss_seen:399.1822 GZSL: seen=0.8240, unseen=0.5323, h=0.6468 ZSL: unseen accuracy=0.5809
[124/500]  Loss_D: -16.0147 Loss_G: -1.3619, Wasserstein_dist:21.5237, vae_loss_seen:408.1620 GZSL: seen=0.8506, unseen=0.5373, h=0.6586 ZSL: unseen accuracy=0.5765
[125/500]  Loss_D: -15.0986 Loss_G: -1.1667, Wasserstein_dist:20.0403, vae_loss_seen:401.6220 GZSL: seen=0.8238, unseen=0.5335, h=0.6476 ZSL: unseen accuracy=0.5811
[126/500]  Loss_D: -15.4849 Loss_G: -1.8544, Wasserstein_dist:20.1503, vae_loss_seen:388.9837 GZSL: seen=0.8469, unseen=0.5317, h=0.6532 ZSL: unseen accuracy=0.5770
